dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),34,0.106125,0.9677,,3662.749,105.21,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),35,0.105726,0.9691,,3777.337,106.742,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),36,0.102716,0.9688,,3901.116,115.902,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),37,0.101853,0.9687,,4013.746,104.912,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),38,0.100342,0.9702,,4126.022,104.394,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),39,0.098905,0.9703,,4239.6,105.86,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),40,0.097851,0.9713,,4354.689,106.92,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),41,0.097205,0.9703,,4468.815,105.631,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),42,0.094202,0.9714,,4585.036,108.406,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),43,0.094032,0.9708,,4700.984,108.098,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),44,0.093183,0.972,,4817.545,108.593,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),45,0.092179,0.9726,,4934.628,108.758,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),46,0.090154,0.9722,,5051.92,109.117,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),47,0.088818,0.9741,,5171.234,111.331,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),48,0.087581,0.9726,,5288.066,108.67,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),49,0.086657,0.9735,,5405.257,108.782,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,DH,classic,Classic (DH+ECDSA),50,0.085796,0.9731,,5521.517,108.328,0.001,64,0.346611,0.0,0.009679,4.987381,1.111914,6.455586
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),1,1.06926,0.7942,,115.743,107.64,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),2,0.424039,0.8831,,235.452,111.023,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),3,0.341856,0.9039,,353.038,109.418,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),4,0.299604,0.9142,,470.526,109.396,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),5,0.273869,0.9211,,591.548,111.093,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),6,0.247303,0.9292,,707.889,108.215,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),7,0.231206,0.9332,,824.76,108.895,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),8,0.217522,0.9367,,942.092,108.937,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),9,0.203357,0.9398,,1060.45,109.845,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),10,0.193855,0.9447,,1183.652,114.897,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),11,0.184534,0.9459,,1303.633,111.616,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),12,0.177351,0.9488,,1420.698,108.939,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),13,0.168982,0.9524,,1536.689,107.861,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),14,0.164568,0.9531,,1651.57,106.864,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),15,0.156656,0.956,,1764.164,104.507,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),16,0.151934,0.9575,,1886.121,110.421,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),17,0.149648,0.9588,,2000.779,106.381,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),18,0.143767,0.9596,,2119.632,110.677,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),19,0.140948,0.9605,,2233.012,105.457,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),20,0.137232,0.9618,,2347.017,106.018,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),21,0.132793,0.9615,,2462.947,107.652,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),22,0.131485,0.9623,,2578.824,108.039,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),23,0.128626,0.9621,,2694.307,107.662,0.001,64,0.998446,0.264141,1.104678,1.499567,0.314758,4.181591
