dataset,n_clients,local_epochs,dropout_rate,backend,round,loss,accuracy
mnist,5,1,0.1,pq,20,0.03333,0.9883
mnist,5,1,0.3,original,1,0.182539,0.9463
mnist,5,1,0.3,original,2,0.116449,0.9656
mnist,5,1,0.3,original,3,0.09218,0.9714
mnist,5,1,0.3,original,4,0.071852,0.978
mnist,5,1,0.3,original,5,0.062039,0.9803
mnist,5,1,0.3,original,6,0.055285,0.9821
mnist,5,1,0.3,original,7,0.053889,0.9828
mnist,5,1,0.3,original,8,0.04824,0.9848
mnist,5,1,0.3,original,9,0.053596,0.9821
mnist,5,1,0.3,original,10,0.046088,0.9852
mnist,5,1,0.3,original,11,0.040324,0.9869
mnist,5,1,0.3,original,12,0.04096,0.9859
mnist,5,1,0.3,original,13,0.039171,0.9869
mnist,5,1,0.3,original,14,0.038888,0.9873
mnist,5,1,0.3,original,15,0.037131,0.9874
mnist,5,1,0.3,original,16,0.039391,0.9871
mnist,5,1,0.3,original,17,0.03399,0.9893
mnist,5,1,0.3,original,18,0.034672,0.9889
mnist,5,1,0.3,original,19,0.034681,0.9885
mnist,5,1,0.3,original,20,0.034941,0.9879
mnist,5,1,0.3,pq,1,0.182539,0.9463
mnist,5,1,0.3,pq,2,0.116449,0.9656
mnist,5,1,0.3,pq,3,0.09218,0.9714
mnist,5,1,0.3,pq,4,0.071852,0.978
mnist,5,1,0.3,pq,5,0.062039,0.9803
mnist,5,1,0.3,pq,6,0.055285,0.9821
mnist,5,1,0.3,pq,7,0.053889,0.9828
mnist,5,1,0.3,pq,8,0.04824,0.9848
mnist,5,1,0.3,pq,9,0.053596,0.9821
mnist,5,1,0.3,pq,10,0.046088,0.9852
mnist,5,1,0.3,pq,11,0.040324,0.9869
mnist,5,1,0.3,pq,12,0.04096,0.9859
mnist,5,1,0.3,pq,13,0.039171,0.9869
mnist,5,1,0.3,pq,14,0.038888,0.9873
mnist,5,1,0.3,pq,15,0.037131,0.9874
mnist,5,1,0.3,pq,16,0.039391,0.9871
mnist,5,1,0.3,pq,17,0.03399,0.9893
mnist,5,1,0.3,pq,18,0.034672,0.9889
mnist,5,1,0.3,pq,19,0.034681,0.9885
mnist,5,1,0.3,pq,20,0.034941,0.9879
mnist,5,1,0.5,original,1,0.17995,0.9475
mnist,5,1,0.5,original,2,0.115664,0.9653
mnist,5,1,0.5,original,3,0.090486,0.9727
mnist,5,1,0.5,original,4,0.079736,0.9771
mnist,5,1,0.5,original,5,0.074928,0.9764
mnist,5,1,0.5,original,6,0.059187,0.9808
mnist,5,1,0.5,original,7,0.052742,0.9826
mnist,5,1,0.5,original,8,0.052455,0.9827
mnist,5,1,0.5,original,9,0.050152,0.9839
