scenario,algorithm,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,advertise_keys_sec,share_keys_sec,verify_sigs_sec,masked_input_sec,unmasking_sec,total_time_sec,client_time_sec,server_time_sec,client_time_pct,server_time_pct,advertise_mb,share_mb,masked_mb,total_comm_mb
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,100000,8.582479,990.212771,5.745037,22.795911,0.023428,1027.359627,1021.591161,5.768465,99.439,0.561,0.000391,0.0,0.775,0.775391
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,100000,30.916564,238.139764,507.730617,37.189635,0.024577,814.001157,306.245963,507.755194,37.622,62.378,0.006445,0.053856,0.775,0.835301
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,100000,16.550632,2851.375925,7.706738,39.237745,0.012558,2914.883598,2907.164302,7.719296,99.735,0.265,0.000391,0.0,0.775,0.775391
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,100000,25.28549,353.854534,1364.379271,162.397753,0.038898,1905.955946,541.537777,1364.418169,28.413,71.587,0.006445,0.108256,0.775,0.889701
