scenario,algorithm,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,advertise_keys_sec,share_keys_sec,verify_sigs_sec,masked_input_sec,unmasking_sec,total_time_sec,client_time_sec,server_time_sec,client_time_pct,server_time_pct,advertise_mb,share_mb,masked_mb,total_comm_mb
clients,original,Original (DH + ECDSA),DH,classic,20,0.0,100,1.085727,21.049334,0.088504,0.034809,4.7e-05,22.258421,22.16987,0.088551,99.602,0.398,0.000391,0.0,0.000775,0.001166
dropout,original,Original (DH + ECDSA),DH,classic,100,0.0,100,5.528158,518.211324,2.517756,0.792705,0.000223,527.050165,524.532187,2.517979,99.522,0.478,0.000391,0.0,0.000775,0.001166
vector,original,Original (DH + ECDSA),DH,classic,100,0.0,100,4.32908,502.332063,3.266753,1.16472,0.000269,511.092884,507.825863,3.267022,99.361,0.639,0.000391,0.0,0.000775,0.001166
