dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),34,0.031008,0.9899,,5606.318,176.374,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),35,0.030816,0.9898,,5777.243,166.715,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),36,0.030729,0.9898,,5945.024,163.475,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),37,0.030157,0.9895,,6124.26,174.925,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),38,0.029952,0.9899,,6300.449,171.918,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),39,0.030208,0.9899,,6482.535,177.686,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),40,0.029672,0.9901,,6646.559,159.768,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),41,0.030212,0.9899,,6830.761,179.9,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),42,0.030103,0.9898,,7014.368,179.297,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),43,0.029758,0.99,,7193.966,175.3,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),44,0.029488,0.99,,7378.474,180.256,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),45,0.029505,0.9899,,7552.882,170.103,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),46,0.029808,0.99,,7727.77,170.607,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),47,0.029359,0.9902,,7903.903,171.845,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),48,0.02926,0.9902,,8087.6,179.474,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),49,0.029216,0.9902,,8264.27,172.383,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,DH,classic,Classic (DH+ECDSA),50,0.029442,0.9904,,8444.402,175.854,0.01,32,0.418284,1e-06,0.033902,7.629892,1.610934,9.693013
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),1,0.165912,0.9506,,126.854,122.568,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),2,0.110994,0.9658,,259.747,128.869,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),3,0.086225,0.9718,,372.749,109.164,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),4,0.072698,0.9765,,477.484,100.788,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),5,0.06353,0.9798,,593.464,112.06,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),6,0.057494,0.9818,,707.43,110.036,0.01,32,1.591525,0.920219,3.577053,0.961038,0.031079,7.080912
