dataset,kem_backend,sig_backend,backend_label,round,loss,accuracy,f1_score,fl_time_sec,train_time_sec,learning_rate,batch_size,time_adv_keys,time_share_keys,time_verify_sigs,time_masked,time_unmask,time_secagg_total
mnist,DH,classic,Classic (DH+ECDSA),34,0.030602,0.9896,,26151.121,1305.493,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),35,0.030432,0.9898,,26467.662,310.217,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),36,0.030384,0.9897,,27079.861,596.552,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),37,0.030283,0.9899,,28794.37,1709.548,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),38,0.030084,0.9898,,29116.057,315.542,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),39,0.029731,0.9897,,29638.49,517.068,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),40,0.029698,0.9901,,30697.203,1055.096,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),41,0.029502,0.9899,,30855.028,154.238,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),42,0.029595,0.9899,,31050.755,190.924,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),43,0.029251,0.99,,31257.102,201.357,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),44,0.029802,0.9901,,31455.585,193.418,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),45,0.029149,0.9902,,31664.152,203.497,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),46,0.029191,0.9901,,31875.793,206.385,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),47,0.028906,0.99,,32081.773,200.739,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),48,0.029097,0.9902,,32310.562,223.253,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),49,0.029004,0.9902,,32523.08,207.243,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,DH,classic,Classic (DH+ECDSA),50,0.028752,0.9902,,32729.672,201.52,0.01,32,0.208529,1e-06,0.00802,1.845584,0.414034,2.476169
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),1,0.164212,0.9518,,148.189,143.122,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),2,0.109936,0.9662,,289.536,136.306,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),3,0.085557,0.9719,,442.01,147.436,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),4,0.072533,0.9763,,585.968,138.989,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),5,0.064005,0.9792,,735.653,144.407,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),6,0.057439,0.9812,,892.364,151.698,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),7,0.052917,0.9821,,1037.073,139.66,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),8,0.049719,0.9835,,1177.704,135.576,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),9,0.04711,0.984,,1331.08,148.351,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),10,0.044972,0.9843,,1480.987,144.909,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),11,0.04355,0.985,,1627.713,141.584,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),12,0.041736,0.9858,,1764.729,132.014,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),13,0.040031,0.9865,,1923.644,153.676,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),14,0.03942,0.9867,,2078.913,150.121,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
mnist,ML-KEM-768,ML-DSA-65,Full PQ (ML-KEM+ML-DSA),15,0.039043,0.9864,,2245.127,160.801,0.01,32,1.072207,0.254112,0.989362,0.255056,0.008509,2.579246
